query	no	token	pos
행	88	...	SE
경주 여행	88	자세	XR
경주 여행	88	하	XSA
경주 여행	88	ㄴ	ETM
경주 여행	88	답변	NNG
경주 여행	88	부탁	NNG
경주 여행	88	드리	VV
경주 여행	88	어요	EC
경주 여행	88	~	SO
경주 여행	88	복사	NNP
경주 여행	88	및	MAJ
경주 여행	88	동문서답	NNG
경주 여행	88	안되요~ㅎㅎ	NA
경주 여행	88	여행	NNP
경주 여행	88	!	SF
경주 여행	88	코스	NNG
경주 여행	88	추천	NNG
경주 여행	88	및	MAJ
경주 여행	88	....	SE
경주 여행	88	답변	NNG
경주 여행	88	드리	VV
경주 여행	88	ㄹ게요	EF
경주 여행	88	!	SF
경주 여행	88	안녕하세요	NNP
경주 여행	88	...	SE
경주 여행	88	.	SF
경주 여행	88	이상	NNG
경주 여행	88	이	VCP
경주 여행	88	ㅂ니다	EF
경주 여행	88	.	SF
경주 여행	88	Ps	SL
경주 여행	88	.	SF
경주 여행	88	제	XPN
경주 여행	88	블로그	NNP
경주 여행	88	를	JKO
경주 여행	88	방문	NNG
경주 여행	88	하	XSV
경주 여행	88	시	EP
경주 여행	88	면	EC
경주 여행	88	,	SP
경주 여행	88	여행	NNP
경주 여행	88	카	NNG
경주 여행	88	테	NNG
경주 여행	88	고리	NNP
경주 여행	88	가	JKS
경주 여행	88	있	VX
경주 여행	88	습니다	EF
경주 여행	88	.	SF
경주 여행	88	여행	NNG
경주 여행	88	코스	NNG
경주 여행	88	짜	VV
경주 여행	88	시	EP
경주 여행	88	ㄹ	ETM
경주 여행	88	때	NNG
경주 여행	88	도움	NNG
경주 여행	88	이	JKS
경주 여행	88	되	VV
경주 여행	88	ㄹ	ETM
경주 여행	88	수	NNB
경주 여행	88	있	VV
경주 여행	88	을	ETM
경주 여행	88	거	NNB
경주 여행	88	에요	EF
경주 여행	88	.	SF
경주 여행	88	^	SW
경주 여행	88	^	SW
경주 여행	89	여행	NNG
경주 여행	89	질문	NNG
경주 여행	89	친구	NNG
경주 여행	89	랑	JKB
경주 여행	89	1	SN
경주 여행	89	박	NNP
경주 여행	89	2	SN
경주 여행	89	일	NNB
경주 여행	89	여행	NNP
경주 여행	89	을	JKO
경주 여행	89	가	VV
경주 여행	89	려고	EC
경주 여행	89	하	VV
경주 여행	89	는데	EC
경주 여행	89	어느	MM
경주 여행	89	순	NNG
경주 여행	89	으로	JKB
경주 여행	89	가야	NNP
경주 여행	89	하	VV
경주 여행	89	ㄹ지	EC
경주 여행	89	알리	VV
경주 여행	89	어	EC
경주 여행	89	주	VX
경주 여행	89	시	EP
경주 여행	89	어요	EC
경주 여행	89	첨성대	NNP
경주 여행	89	,	SP
경주 여행	89	불국사	NNP
경주 여행	89	,	SP
경주 여행	89	석굴암	NNP
경주 여행	89	,	SP
경주 여행	89	동궁	NNP
경주 여행	89	과	JC
경주 여행	89	월지	NNP
경주 여행	89	(	SS
경주 여행	89	야경	NNP
경주 여행	89	보	VV
경주 여행	89	러	EC
경주 여행	89	)	SS
경주 여행	89	가	VV
경주 여행	89	고	EC
경주 여행	89	싶	VX
경주 여행	89	어요	EF
경주 여행	89	!	SF
경주 여행	89	첫째	NR
경주 여행	89	날	NNG
경주 여행	89	에	JKB
경주 여행	89	는	JX
경주 여행	89	불국사	NNP
경주 여행	89	가	VV
경주 여행	89	았	EP
경주 여행	89	다가	EC
경주 여행	89	석굴암	NNP
경주 여행	89	가	VV
경주 여행	89	고	EC
경주 여행	89	두	MM
경주 여행	89	번	NNB
경주 여행	89	째	XSN
경주 여행	89	날	NNG
경주 여행	89	에	JKB
경주 여행	89	첨성대	NNP
경주 여행	89	보	VV
경주 여행	89	고	EC
경주 여행	89	...	SE
경주 여행	90	여행	NNP
경주 여행	90	(	SS
경주 여행	90	2	SN
경주 여행	90	박	NNP
경주 여행	90	3	SN
경주 여행	90	일	NNB
경주 여행	90	)	SS
경주 여행	90	가족	NNP
경주 여행	90	여행	NNP
경주 여행	90	추천	NNG
경주 여행	90	코스	NNG
경주 여행	90	부탁	NNG
경주 여행	90	드리	VV
경주 여행	90	ㅂ니다	EF
경주 여행	90	.	SF
경주 여행	90	2	SN
경주 여행	90	박	NNP
경주 여행	90	3	SN
경주 여행	90	일	NNB
경주 여행	90	일정	NNG
경주 여행	90	으로	JKB
경주 여행	90	가족	NNG
경주 여행	90	여행	NNG
경주 여행	90	을	JKO
경주 여행	90	준비	NNG
경주 여행	90	중	NNB
경주 여행	90	이	VCP
경주 여행	90	ㄴ데요	EC
경주 여행	90	저	NP
경주 여행	90	와	JKB
경주 여행	90	아내	NNG
경주 여행	90	그리고	MAJ
경주 여행	90	다섯	NR
경주 여행	90	살	NNB
경주 여행	90	되	VV
경주 여행	90	ㄴ	ETM
경주 여행	90	딸	NNG
경주 여행	90	과	JC
경주 여행	90	함께	MAG
경주 여행	90	여행	NNP
경주 여행	90	을	JKO
경주 여행	90	하	VV
경주 여행	90	려고	EC
경주 여행	90	하	VX
경주 여행	90	ㅂ니다	EF
경주 여행	90	.	SF
경주 여행	90	숙소	NNG
경주 여행	90	는	JX
경주 여행	90	...	SE
경주 여행	90	첫날	NNG
경주 여행	90	,	SP
경주 여행	90	저녁	NNP
경주 여행	90	식사	NNP
경주 여행	90	전	NNP
경주 여행	90	도착	NNG
경주 여행	90	예정	NNG
경주 여행	90	둘째	NR
경주 여행	90	날	NNG
경주 여행	90	,	SP
경주 여행	90	관광	NNP
경주 여행	90	세째	NR
경주 여행	90	날	NNG
경주 여행	90	,	SP
경주 여행	90	점심	NNG
경주 여행	90	먹	VV
경주 여행	90	고	EC
경주 여행	90	대전	NNP
경주 여행	90	출발	NNG
경주 여행	90	예정	NNG
경주 여행	90	여행	NNG
경주 여행	90	가	VV
경주 여행	90	아	EC
경주 여행	90	보	VX
경주 여행	90	ㄹ	ETM
경주 여행	90	만	NNB
경주 여행	90	하	XSA
경주 여행	90	ㄴ	ETM
경주 여행	90	곳	NNG
경주 여행	90	이	VCP
경주 여행	90	ㅂ니다	EF
경주 여행	90	.	SF
경주 여행	90	...	SE
경주 여행	91	여행	NNG
경주 여행	91	안녕하세요	NNP
경주 여행	91	저	MM
경주 여행	91	서울	NNP
경주 여행	91	살	VV
경주 여행	91	는	ETM
경주 여행	91	중학생	NNG
경주 여행	91	이	VCP
경주 여행	91	ㄴ데	EC
경주 여행	91	내일	NNG
경주 여행	91	여행	NNP
경주 여행	91	가요	NNP
경주 여행	91	~	SO
경주 여행	91	~	SO
경주 여행	91	애	NNG
경주 여행	91	들	XSN
경주 여행	91	하	XSV
경주 여행	91	고	EC
경주 여행	91	말	VX
경주 여행	91	ㄴ	ETM
경주 여행	91	용	NNP
경주 여행	91	~	SO
경주 여행	91	그	MM
경주 여행	91	첫날	NNG
경주 여행	91	은	JX
경주 여행	91	경주월드	NNP
경주 여행	91	개장	NNG
경주 여행	91	시간	NNP
경주 여행	91	~	SO
경주 여행	91	폐	NNG
경주 여행	91	장시간	NNG
경주 여행	91	까지	JX
경주 여행	91	놀	VV
경주 여행	91	ㄹ	ETM
경주 여행	91	것	NNB
경주 여행	91	고요	NNP
경주 여행	91	,	SP
경주 여행	91	둘쨋날	NNG
경주 여행	91	원래	NNG
경주 여행	91	계획	NNG
경주 여행	91	다	MAG
경주 여행	91	세우	VV
경주 여행	91	어	EC
경주 여행	91	놓	VV
경주 여행	91	앗	EC
경주 여행	91	었	EP
경주 여행	91	는데	EC
경주 여행	91	폰	NNP
경주 여행	91	버꾸	NNG
경주 여행	91	이	VCP
경주 여행	91	면서	EC
경주 여행	91	그	MM
경주 여행	91	파일	NNP
경주 여행	91	이	JKS
경주 여행	91	날라갔습니다..ㅠㅠ...	NA
경주 여행	92	2	SN
경주 여행	92	박	NNP
경주 여행	92	3	SN
경주 여행	92	일	NNB
경주 여행	92	여행	NNP
경주 여행	92	이동	NNG
경주 여행	92	방법	NNG
경주 여행	92	알리	VV
경주 여행	92	어	EC
경주 여행	92	주	VX
경주 여행	92	시	EP
경주 여행	92	어요	EC
경주 여행	92	~	SO
경주 여행	92	다음	NNG
경주 여행	92	주	NNG
경주 여행	92	에	JKB
경주 여행	92	친구	NNG
경주 여행	92	랑	JKB
경주 여행	92	여행	NNP
경주 여행	92	을	JKO
경주 여행	92	계획	NNG
경주 여행	92	하	XSV
경주 여행	92	고	EC
경주 여행	92	있	VX
경주 여행	92	습니다	EF
경주 여행	92	.	SF
경주 여행	92	그런데	MAJ
경주 여행	92	...	SE
경주 여행	92	감사	NNG
경주 여행	92	하	XSV
경주 여행	92	겠	EP
경주 여행	92	습니다	EC
경주 여행	92	~	SO
경주 여행	92	여행	NNP
경주 여행	92	일정	NNG
경주 여행	92	과	JC
경주 여행	92	형편	NNG
경주 여행	92	에	JKB
경주 여행	92	맞	VV
경주 여행	92	게	EC
경주 여행	92	...	SE
경주 여행	92	054	SN
경주 여행	92	-	SW
경주 여행	92	743	SN
경주 여행	92	-	SW
경주 여행	92	6001	SN
경주 여행	92	아래	NNG
경주 여행	92	사이트	NNG
경주 여행	92	에서	JKB
경주 여행	92	여행	NNP
경주 여행	92	후기	NNG
경주 여행	92	몇	MM
경주 여행	92	편	NNB
경주 여행	92	만	JX
경주 여행	92	읽	VV
경주 여행	92	어	EC
경주 여행	92	보	VX
경주 여행	92	면	EC
경주 여행	92	많	VA
경주 여행	92	은	ETM
경주 여행	92	도움	NNG
경주 여행	92	이	JKS
경주 여행	92	되	VV
경주 여행	92	ㄹ	ETM
